"l1"	"l2"	"l3"	"l4"	"l5"	"l6"	"l7"	"l8"	"l9"	"l10"	"l11"	"l12"	"l13"	"l14"	"l15"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"
10.532022	4.223265	19.012524	21.319782	14.537728	15.987173	14.66953	0	0	5.199243	5.320652	106.265751	109.541263	12.544717	6.065616	0.261045	0.108264	0.17306	10.262152	1.145435	0.090023	0.104838	0.214333	6.614016	0.180579	54.774779	0.129665	17.12973	1.404976	0.466188	0.005906	0.003369	0.018382	0.0944	0.012471	0.010094	0.009207	0.018543	0.049135	0.066392	0.061095	0.073468	0.121449	0.025273	0.006289
9.293876	3.915817	21.009314	19.017734	14.775342	16.837334	14.759389	0	0	4.338432	4.557598	99.051981	99.990353	12.980962	5.752837	0.247421	0.09751	0.03599	4.279266	1.170299	0.12301	0.104197	0.170014	5.396888	0.270502	50.647063	0.117226	17.362052	1.268348	0.582424	0.009135	0.001724	0.010265	0.13673	0.021404	0.008804	0.0097	0.099008	0.11048	0.08743	0.076674	0.06034	0.022427	0.009948	0.003237
9.543265	4.246912	20.970681	18.984495	13.912034	16.136633	14.630688	0	0	5.014166	5.031529	99.948836	105.304658	13.361879	6.135941	0.275747	0.141099	0.221793	4.200192	1.27997	0.092966	0.100225	0.258298	5.499536	0.093086	55.937951	0.074572	23.310815	1.288906	0.593469	0.004559	0.002758	0.014286	0.102793	0.019155	0.01084	0.013511	0.121131	0.107313	0.11276	0.028314	0.140873	0.0517	0.013409	0.008347
9.99959	4.059763	19.091779	21.420401	14.265184	15.211663	13.949487	0	0	4.416416	4.979659	100.564482	102.759977	12.226863	6.55453	0.291618	0.133798	0.261285	8.231317	1.21617	0.084782	0.092653	0.26489	5.865491	0.113147	60.520281	0.195528	17.101271	1.399243	0.515084	0.005972	0.004345	0.013603	0.0847	0.027823	0.010657	0.00767	0.12339	0.174354	0.058893	0.016945	0.088834	0.081289	0.019472	0.010803
10.553972	4.451524	18.785666	19.834893	14.13785	16.603718	14.216999	0	0	5.037671	5.200858	103.453908	101.253323	14.188357	5.873906	0.332252	0.113161	0.258673	6.923464	1.294081	0.138427	0.0944	0.228429	3.934267	0.130248	70.243244	0.187247	19.043167	1.418391	0.509049	0.008267	0.002631	0.015966	0.120498	0.023275	0.013546	0.013089	0.105619	0.176929	0.016446	0.076224	0.018694	0.106667	0.022784	0.007676
9.645149	4.838423	19.106804	19.409397	14.208036	15.280412	14.966565	0	0	4.50701	4.895391	105.238192	111.815592	14.15775	5.961078	0.275164	0.130756	0.350789	8.608077	1.330597	0.07563	0.087238	0.247867	4.383796	0.281178	59.625657	0.10168	15.896381	1.260188	0.599957	0.008188	0.002554	0.018278	0.149733	0.018139	0.012149	0.008025	0.120369	0.14192	0.062749	0.10752	0.012892	0.069411	0.016575	0.006119
10.273621	4.563715	18.726564	21.542858	15.088049	17.073141	15.011802	0	0	4.89716	5.269761	106.521102	102.32477	14.996789	5.837712	0.267585	0.131192	0.314044	6.105851	1.404453	0.063287	0.109208	0.196955	4.473865	0.326562	66.101598	0.180969	19.266918	1.146905	0.426365	0.007626	0.003815	0.01154	0.187137	0.028895	0.012911	0.01015	0.109855	0.154701	0.089491	0.113728	0.103385	0.035776	0.018568	0.009899
10.102847	4.306717	20.873705	19.432851	14.508005	14.74033	14.774265	0	0	4.822235	4.914354	97.775946	107.514588	14.110274	5.651065	0.269145	0.127977	0.114793	4.489068	1.385897	0.097027	0.108701	0.171021	5.289801	0.230394	59.974699	0.311116	16.645505	1.325797	0.515891	0.007366	0.002348	0.013983	0.123739	0.034029	0.011145	0.006279	0.098704	0.121437	0.029209	0.102979	0.068348	0.029622	0.012224	0.007334
9.761742	4.181189	21.546604	19.249061	15.153518	15.527682	14.142221	0	0	5.090411	4.935248	110.242709	104.62164	15.148277	5.789101	0.31321	0.160436	0.045086	7.242673	1.239484	0.094491	0.10069	0.242937	4.29569	0.325595	72.207575	0.253665	22.937597	1.188896	0.474357	0.005707	0.00357	0.009872	0.132895	0.021006	0.012765	0.009575	0.084706	0.099908	0.094977	0.133157	0.083768	0.091281	0.016306	0.004289
9.814616	4.483259	20.179784	20.696948	14.611067	15.820015	13.92936	0	0	5.165035	4.462455	104.046214	97.81729	12.464438	6.051729	0.321687	0.128257	0.185689	8.036745	1.441998	0.054669	0.112613	0.267982	5.155706	0.186655	62.283377	0.136005	21.574279	1.33225	0.577759	0.006815	0.002473	0.020432	0.140065	0.040968	0.011274	0.010745	0.063406	0.055661	0.079841	0.008885	0.116794	0.096304	0.021424	0.009588
10.434174	4.878067	20.724991	19.608042	15.175124	15.756329	14.558511	0	0	4.648623	4.642935	100.689733	111.018592	13.814022	5.76383	0.271506	0.152694	0.08459	9.285903	1.299244	0.074461	0.108456	0.18547	4.537085	0.168063	59.182541	0.093118	18.534564	1.408263	0.601373	0.008412	0.001481	0.009	0.05628	0.037446	0.01193	0.00783	0.081346	0.166306	0.055492	0.087508	0.120181	0.152673	0.009721	0.004581
9.343463	4.631275	20.616264	19.85529	14.047562	16.444143	14.4755	0	0	4.866618	4.791738	98.768233	104.79036	15.99417	5.429091	0.334801	0.119859	0.206502	7.189996	1.227256	0.084426	0.110768	0.222357	3.448328	0.23695	57.241805	0.273774	21.757512	1.227139	0.456666	0.008571	0.002423	0.015824	0.157371	0.012287	0.011681	0.008279	0.089974	0.182528	0.084588	0.122249	0.019865	0.077554	0.021113	0.009481
9.68986	4.816668	20.542364	20.711812	15.240429	14.864085	14.721303	0	0	5.230519	4.760803	106.300703	99.474798	14.299117	6.355856	0.328707	0.145386	0.359016	8.718706	1.201188	0.07823	0.092959	0.198274	5.258987	0.151281	63.902912	0.289708	18.789948	1.141913	0.337695	0.007097	0.001687	0.010076	0.148344	0.028408	0.012459	0.011401	0.152248	0.060277	0.030879	0.095365	0.09075	0.140815	0.011221	0.006543
10.493988	4.789888	20.28055	19.719217	14.370183	15.79865	14.875997	0	0	5.214502	4.52693	108.894381	108.594732	13.330232	5.315509	0.308313	0.125308	0.219981	6.613665	1.242182	0.125114	0.101396	0.182641	5.699472	0.164634	56.660287	0.321322	18.022423	1.154438	0.493196	0.008516	0.003234	0.01464	0.112825	0.013214	0.012508	0.00944	0.057442	0.180183	0.006456	0.066299	0.066924	0.068542	0.012238	0.011035
9.823586	4.976816	21.182461	20.820416	14.83136	16.306196	14.285193	0	0	4.598958	5.307578	107.148335	113.183887	12.723935	6.269884	0.225034	0.14156	0.208597	7.459547	1.378505	0.086944	0.104673	0.234651	5.931401	0.120472	62.06229	0.30175	19.909033	1.328141	0.627679	0.005504	0.002287	0.011782	0.036967	0.020728	0.0097	0.006817	0.02517	0.152766	0.036311	0.014607	0.062679	0.12759	0.013901	0.00937
9.462028	4.326979	21.6192	18.690115	14.664608	16.753062	15.280662	0	0	4.421684	4.998466	100.196249	103.7902	15.542571	5.637207	0.306335	0.142628	0.120951	4.965373	1.396493	0.099331	0.106366	0.150261	3.8155	0.107188	49.440965	0.258617	15.525543	1.42121	0.544592	0.007744	0.002069	0.014879	0.090293	0.017298	0.013056	0.011162	0.027056	0.164546	0.085429	0.012016	0.066191	0.12991	0.01492	0.011224
9.744915	4.427632	19.039939	21.010532	14.415493	16.196187	15.128738	0	0	5.476292	4.606843	98.102877	98.263352	14.212253	5.534005	0.244263	0.116216	0.292911	6.970286	1.226008	0.092464	0.084181	0.246893	4.693339	0.248766	49.883256	0.115222	21.237308	1.264222	0.563345	0.005772	0.003126	0.015532	0.098341	0.028121	0.010869	0.008968	0.128324	0.146612	0.048579	0.085386	0.033535	0.097501	0.0232	0.012722
10.761374	3.918437	20.137507	20.858457	14.187602	15.97318	14.41034	0	0	4.291892	4.404108	105.829738	104.063282	14.595114	5.669793	0.283867	0.142237	0.230224	8.564377	1.244961	0.112407	0.100544	0.184961	5.581248	0.226771	60.949425	0.124926	23.550655	1.305405	0.477698	0.007921	0.002828	0.012901	0.101889	0.034644	0.011693	0.010663	0.095988	0.117005	0.096526	0.084576	0.050991	0.138526	0.019213	0.006959
9.68489	5.253536	19.745458	18.948567	15.004455	16.208883	15.034068	0	0	4.477939	4.389633	107.052746	113.796386	14.837152	6.190738	0.243539	0.13292	0.136058	8.834634	1.306132	0.100382	0.098939	0.154169	4.287425	0.116817	47.790682	0.260496	19.155375	1.293252	0.525881	0.006215	0.002729	0.016405	0.152431	0.039174	0.010971	0.007398	0.116889	0.147975	0.092202	0.025571	0.125519	0.108191	0.01057	0.012028
9.526155	4.463006	21.06006	20.322882	14.173281	15.494971	14.147637	0	0	4.921599	4.650362	109.873783	106.783274	13.617649	5.847383	0.284713	0.134693	0.19864	6.20346	1.419924	0.104315	0.103648	0.262376	4.45212	0.286464	51.543014	0.193324	16.085272	1.401077	0.454069	0.005921	0.00352	0.010988	0.15481	0.0259	0.011847	0.014158	0.106095	0.103709	0.064142	0.063236	0.097994	0.070513	0.017891	0.010561
9.900502	4.127605	20.658289	19.499496	14.701532	15.117303	14.519789	0	0	4.553309	4.345127	101.897466	101.981776	13.964035	6.665919	0.298609	0.115377	0.150089	7.082616	1.303887	0.116989	0.102325	0.180269	6.119732	0.158237	51.009664	0.066918	18.411828	1.280184	0.631306	0.008034	0.002667	0.017176	0.104	0.023758	0.010453	0.00843	0.07614	0.185826	0.034725	0.074372	0.077681	0.072629	0.014148	0.009758
10.142103	4.843608	20.905119	20.793314	14.021164	17.094268	14.724624	0	0	5.707241	4.750854	106.708034	111.352995	13.42095	5.187013	0.259144	0.101371	0.125434	6.137335	1.381643	0.133998	0.087504	0.226107	4.251315	0.053871	62.816539	0.049719	20.431333	1.17364	0.446225	0.00715	0.004208	0.010473	0.116299	0.031682	0.014286	0.009903	0.115902	0.151173	0.116765	0.098538	0.15799	0.059702	0.025852	0.00926
9.943405	3.99379	20.429787	21.489817	14.634386	16.411602	14.867511	0	0	4.972666	4.286793	101.444914	114.039128	15.437956	5.79466	0.272533	0.132522	0.213461	9.800654	1.344262	0.106502	0.091933	0.223401	4.896938	0.258417	58.421996	0.34846	15.294685	1.315428	0.393385	0.004278	0.003608	0.013645	0.113493	0.044712	0.011325	0.012339	0.118743	0.106573	0.122384	0.051925	0.071919	0.169219	0.019758	0.005688
9.444033	4.855956	19.610149	20.664884	14.843697	15.413939	14.613617	0	0	5.196156	4.848722	110.985999	98.594305	13.862154	5.395249	0.279043	0.146414	0.120021	5.967403	1.292671	0.056142	0.091554	0.240105	4.638102	0.29846	55.911236	0.245891	15.961065	1.220043	0.589877	0.006191	0.003446	0.019794	0.130606	0.023158	0.011996	0.011682	0.137935	0.040486	0.081156	0.073218	0.114795	0.120067	0.029796	0.006367
9.495794	5.300854	20.297655	20.031474	14.352412	15.602223	14.085544	0	0	4.287123	5.699794	106.850735	112.334614	16.261298	5.981268	0.314523	0.128855	0.071006	6.779723	1.306975	0.065972	0.104059	0.189949	5.77163	0.073664	60.206201	0.165838	24.658897	1.245008	0.505313	0.009472	0.002189	0.014927	0.135479	0.008906	0.011444	0.009755	0.174577	0.131277	0.026462	0.078815	0.084502	0.017942	0.027544	0.00485
9.737063	4.748852	19.520952	19.32036	14.350377	15.802705	14.796875	0	0	5.144368	5.377555	104.696718	105.71278	16.491142	6.439533	0.297475	0.121156	0.266153	5.333985	1.263704	0.067598	0.100912	0.203007	4.628836	0.103377	69.553896	0.357514	19.589794	1.439258	0.495035	0.00541	0.004261	0.01533	0.158408	0.026243	0.012946	0.01291	0.056086	0.090135	0.065412	0.111799	0.055238	0.111515	0.018182	0.00501
9.623894	4.5262	18.820636	21.080255	14.447539	15.327364	14.923081	0	0	5.09667	4.709953	111.240306	98.945597	16.069117	5.341981	0.259434	0.120841	0.141066	7.593865	1.268337	0.146197	0.105707	0.214643	4.977255	0.272691	65.556487	0.161853	20.942007	1.340797	0.480921	0.006953	0.004046	0.013847	0.137235	0.045652	0.008231	0.009091	0.110513	0.108613	0.102746	0.055657	0.094011	0.12383	0.018431	0.007876
9.253429	4.499063	19.265109	20.430224	15.187837	16.32894	14.552968	0	0	5.054329	5.173523	103.198089	102.674281	12.29836	6.215363	0.279328	0.108732	0.257006	7.507455	1.344358	0.10493	0.095127	0.18717	6.292431	0.22148	61.566477	0.122796	19.028722	1.346451	0.477065	0.007362	0.002338	0.01171	0.100373	0.024428	0.012653	0.012503	0.035467	0.156686	0.015144	0.092517	0.058048	0.17201	0.008307	0.00724
9.376219	4.708756	20.505219	18.752873	14.323346	16.282796	15.152979	0	0	4.960397	5.558359	101.260794	99.644778	14.702211	5.915594	0.255059	0.122321	0.287632	9.57174	1.188364	0.118316	0.086382	0.286446	6.487323	0.316541	70.749681	0.270245	19.951316	1.283089	0.535933	0.007208	0.003431	0.013055	0.074703	0.022326	0.011023	0.008952	0.100179	0.097774	0.052629	0.022989	0.133882	0.088351	0.014675	0.003339
10.429377	4.504477	19.928787	21.178579	14.686542	15.734831	15.084771	0	0	5.432803	4.678991	107.990181	110.329728	12.090379	5.858218	0.250411	0.131449	0.228183	6.430267	1.205369	0.13139	0.103801	0.234063	4.497921	0.097934	56.680507	0.215945	23.226653	1.237419	0.443015	0.005023	0.003286	0.017359	0.191277	0.0155	0.011047	0.009306	0.103899	0.04331	0.046761	0.042229	0.113855	0.102181	0.013793	0.005122
9.398936	4.68931	18.905253	19.105196	14.578114	15.906114	15.06117	0	0	4.611875	4.690999	102.621158	105.519659	15.245791	5.587803	0.293929	0.115011	0.090135	6.288865	1.272323	0.104041	0.099678	0.252365	5.75824	0.215756	61.218565	0.197817	24.90252	1.336484	0.430685	0.004383	0.002397	0.011422	0.108328	0.019536	0.011204	0.012813	0.12281	0.101807	0.069708	0.033975	0.021908	0.134863	0.02377	0.009448
10.083568	4.017219	19.939541	19.375167	14.9737	16.621864	14.900181	0	0	5.643122	5.357833	98.153245	103.369069	12.769932	5.45915	0.264591	0.124034	0.051158	6.24073	1.360611	0.125931	0.107288	0.231495	4.823905	0.207668	57.780054	0.203842	21.139583	1.337915	0.51214	0.008775	0.003668	0.010383	0.078804	0.02011	0.013225	0.006936	0.089331	0.095324	0.115958	0.078145	0.035689	0.117813	0.016239	0.011515
10.192998	4.191021	20.782671	20.17482	14.523701	16.640882	14.162733	0	0	5.349096	5.010233	107.892732	110.565376	15.185646	5.884007	0.333567	0.098932	0.097319	8.385246	1.336499	0.080278	0.115796	0.194424	6.138202	0.124442	52.098706	0.159732	17.657452	1.197079	0.574095	0.00744	0.002089	0.01606	0.050619	0.018526	0.010179	0.007714	0.11205	0.075711	0.070804	0.100576	0.079449	0.093888	0.027324	0.008964
10.321635	3.872319	20.465209	19.513951	14.47183	15.839869	13.978368	0	0	4.978851	5.134315	115.627781	103.659812	13.594368	6.306431	0.262261	0.138678	0.092832	8.172023	1.36712	0.089009	0.092108	0.199657	5.12652	0.347205	64.32054	0.134602	19.705289	1.376422	0.573372	0.005193	0.001839	0.016836	0.048519	0.007444	0.011755	0.012262	0.151215	0.084321	0.072033	0.093744	0.110234	0.046851	0.013034	0.010603
9.867938	4.364617	20.323118	20.260976	14.230005	15.088044	14.111207	0	0	4.716515	5.014269	107.274501	107.359848	13.297438	6.096672	0.237629	0.139854	0.179807	6.534328	1.449884	0.113178	0.111269	0.213028	3.60707	0.312511	58.97205	0.264469	22.446882	1.443273	0.399276	0.006327	0.002217	0.01325	0.086838	0.010557	0.011491	0.014794	0.080017	0.061889	0.036919	0.056542	0.070038	0.060219	0.023729	0.006476
9.646107	4.41882	19.595935	19.655168	14.709622	17.194881	15.197028	0	0	5.664822	5.188942	103.065132	108.761349	16.005949	5.944007	0.250666	0.10237	0.131872	7.329667	1.254885	0.123155	0.108188	0.15305	4.798164	0.212404	65.245157	0.099545	19.80202	1.378438	0.381466	0.00663	0.002602	0.017677	0.178548	0.021753	0.008401	0.009842	0.161639	0.113913	0.027633	0.071335	0.087647	0.07835	0.028195	0.004435
10.162903	4.231565	20.107569	19.175021	14.176404	16.145572	15.175857	0	0	4.755545	4.579439	110.445065	105.155591	15.621727	6.175238	0.296042	0.114305	0.295966	9.215813	1.284326	0.129227	0.102612	0.273401	3.886304	0.194492	60.7118	0.157541	19.52079	1.318209	0.408525	0.009234	0.00459	0.015096	0.070575	0.02994	0.009421	0.010761	0.033517	0.124089	0.041226	0.059172	0.04589	0.041782	0.020643	0.008968
10.05238	4.110053	21.120995	20.229821	14.241689	15.700821	14.655324	0	0	4.481815	5.496441	96.267852	109.12362	15.793811	6.412285	0.327085	0.126846	0.20366	6.40141	1.19207	0.113446	0.115297	0.251329	5.478351	0.185567	67.448634	0.283143	20.856332	1.285574	0.542094	0.004942	0.003836	0.019351	0.170521	0.014314	0.012551	0.007186	0.054268	0.034314	0.089948	0.072608	0.074717	0.038458	0.022393	0.008534
10.07119	4.345074	21.441335	19.866523	14.091624	15.381966	14.894561	0	0	4.236829	4.780199	113.307325	108.381598	14.943819	6.201435	0.227841	0.106659	0.16125	10.112154	1.300364	0.119558	0.101738	0.210587	6.015447	0.08022	68.869043	0.267038	18.108386	1.248503	0.390323	0.00669	0.001807	0.016193	0.072482	0.022509	0.013379	0.011031	0.043266	0.082284	0.057883	0.075322	0.159892	0.056339	0.020861	0.010084
9.56135	5.211521	19.400684	20.106387	14.821225	16.073848	14.253263	0	0	4.886027	4.738253	112.080923	112.898698	16.237346	6.110443	0.304863	0.145006	0.187512	5.001948	1.163649	0.091334	0.10994	0.140581	6.325144	0.294396	63.295622	0.178247	22.39848	1.354348	0.413436	0.007256	0.003978	0.012407	0.063997	0.038082	0.008369	0.010124	0.067234	0.070976	0.107164	0.054107	0.124927	0.109447	0.015136	0.010204
10.652858	4.936204	21.156457	21.220185	14.764419	16.695774	14.206876	0	0	4.382702	4.455754	109.177216	100.791358	14.030133	6.462368	0.26864	0.109478	0.101699	7.439639	1.221874	0.097687	0.091201	0.161125	3.875212	0.283932	53.810589	0.247019	17.527715	1.291102	0.424139	0.006085	0.003716	0.012748	0.085931	0.04865	0.009486	0.008744	0.166355	0.096574	0.044712	0.058877	0.149036	0.101083	0.030041	0.005532
10.72916	4.00778	19.904702	20.002035	13.869532	16.166169	14.479572	0	0	5.601997	4.288476	103.848625	108.117662	14.512481	6.630091	0.280678	0.125991	0.111723	8.069209	1.428774	0.088383	0.096764	0.204594	4.507797	0.210915	54.518917	0.297131	22.224425	1.367836	0.363703	0.006282	0.002915	0.012221	0.145631	0.008366	0.013913	0.013171	0.132526	0.127747	0.125622	0.098377	0.097827	0.032069	0.019059	0.005977
9.877424	4.205202	19.504666	20.483861	14.077063	16.829933	14.445425	0	0	5.102391	5.342755	111.9321	104.745551	12.885972	6.533187	0.282651	0.138881	0.14681	7.823888	1.234752	0.102312	0.097206	0.276124	5.076018	0.249581	64.54518	0.250771	22.545933	1.323259	0.500729	0.006558	0.003072	0.017306	0.068841	0.039545	0.010526	0.008867	0.138757	0.068372	0.056807	0.030853	0.122512	0.079946	0.017886	0.00816
10.205262	4.328262	20.033762	19.283453	13.991222	15.874421	14.952734	0	0	4.785246	4.968142	108.35574	108.946861	16.955276	5.622771	0.281478	0.133434	0.1554	9.036096	1.325087	0.087927	0.114109	0.209329	3.76543	0.042409	60.387323	0.145844	20.666932	1.386166	0.348977	0.008877	0.00411	0.018545	0.091409	0.033469	0.010027	0.005876	0.062543	0.099654	0.054028	0.096478	0.081363	0.149329	0.022216	0.007262
10.579149	4.265918	18.42538	19.462938	14.554236	16.250436	14.58407	0	0	5.491865	5.721774	109.393171	112.700464	15.505862	5.809712	0.283562	0.151428	0.134399	9.710439	1.318528	0.110245	0.113169	0.207593	6.221024	0.30837	59.106873	0.054971	23.93523	1.316315	0.437968	0.007804	0.004029	0.019968	0.061821	0.017911	0.011831	0.010001	0.136661	0.114521	0.13359	0.110516	0.053155	0.124807	0.022025	0.004026
10.242431	4.432213	19.53271	21.084296	14.727266	17.182361	14.012859	0	0	4.455179	5.297966	108.150319	107.191779	14.647293	6.225426	0.292691	0.14826	0.271453	7.951124	1.332996	0.083064	0.109489	0.22505	4.148045	0.175832	52.251422	0.163723	18.511007	1.279154	0.528482	0.00806	0.001389	0.008722	0.145341	0.031886	0.00992	0.013921	0.103354	0.089043	0.098684	0.123928	0.100244	0.158833	0.02353	0.007794
10.130751	4.646682	19.476986	18.874142	14.056945	14.978189	14.342884	0	0	5.415686	4.191229	104.40493	114.241825	14.005711	6.256378	0.252221	0.125755	0.19072	5.163857	1.397225	0.064096	0.090572	0.166248	3.375861	0.349871	63.030376	0.314801	18.641008	1.224026	0.449062	0.007678	0.004157	0.016538	0.088177	0.041632	0.010131	0.009386	0.146763	0.105462	0.047706	0.064867	0.086251	0.074566	0.026909	0.006285
9.959372	4.89814	20.074406	19.737651	14.492806	15.872026	14.318181	0	0	5.182622	5.676709	96.855812	106.295684	15.030832	5.487815	0.214644	0.143374	0.171223	7.862371	1.317958	0.117157	0.102845	0.200742	5.568476	0.172497	51.858002	0.305946	17.254935	1.426375	0.650393	0.009538	0.003685	0.01568	0.09719	0.033067	0.01077	0.010887	0.091866	0.085873	0.021892	0.108885	0.161569	0.065782	0.025434	0.003869
9.77897	3.781287	21.236843	19.211773	14.290154	15.571601	14.376351	0	0	4.934009	5.591294	107.746507	106.106978	16.344509	6.316933	0.311951	0.135899	0.195759	6.046733	1.329561	0.086312	0.111035	0.178007	6.42213	0.184139	55.22577	0.218156	24.098816	1.255077	0.532941	0.00664	0.003902	0.007431	0.111808	0.036379	0.011101	0.006686	0.179751	0.16892	0.04037	0.083165	0.048493	0.099713	0.014578	0.009127
10.796903	5.026409	19.827376	19.8062	14.269548	16.79982	14.333462	0	0	4.345338	4.865886	108.553036	100.926464	16.594247	6.332907	0.303213	0.130084	0.280121	5.72747	1.389327	0.081523	0.099412	0.196067	5.362064	0.278894	56.8958	0.208085	21.428724	1.460441	0.43287	0.005559	0.002484	0.01794	0.054151	0.026508	0.010433	0.007244	0.157082	0.057475	0.114084	0.028922	0.0771	0.132744	0.01043	0.004923
9.856269	5.215783	19.175766	19.589499	14.226689	16.2276	14.352022	0	0	4.571119	5.256122	102.396993	115.116189	13.70343	5.903941	0.266916	0.159793	0.152296	9.14841	1.374523	0.12846	0.105264	0.183973	5.194854	0.190925	67.026732	0.223766	18.871706	1.206154	0.659176	0.006445	0.002965	0.013095	0.117068	0.046708	0.010377	0.010495	0.045344	0.069689	0.061759	0.115021	0.14487	0.084196	0.019925	0.008572
