"GASRR"	"GASClv"	"GASCrv"	"GASRub"	"GASRrc"	"GASRsc"	"GASRlc"	"GASVub"	"GASVrc"	"GASVsc"	"GASVlc"	"GAPRR"	"GCPRub"	"GCPRrc"	"GCPRsc"	"GCPRlc"	"GCPVub"	"GCPVrc"	"GCPVsc"	"GCPVlc"
0.014716	0.015406	0.019198	-0.09249	-0.18628	-0.108518	-0.156657	5.777667	1.172918	10.708823	5.631442	0.010196	-0.268639	-0.294521	-0.277886	-0.221528	15.452267	3.0159	49.057741	34.702892
0.013561	0.013511	0.022801	-0.17026	-0.138665	-0.15438	-0.151081	5.86641	1.292126	16.4671	7.418516	0.007007	-0.258993	-0.291001	-0.251146	-0.306756	15.72277	3.061455	57.00949	27.361952
0.017651	0.013784	0.021472	-0.081455	-0.173707	-0.175535	-0.143956	5.610198	1.433534	10.647674	6.538743	0.012493	-0.361929	-0.326601	-0.287975	-0.367776	13.940353	2.500837	57.534599	22.886564
0.01274	0.012397	0.022705	-0.184125	-0.134906	-0.183933	-0.18123	4.400874	1.319121	12.755212	5.281871	0.011312	-0.239948	-0.33867	-0.343904	-0.251768	14.65974	2.918666	55.781427	25.30624
0.014916	0.012653	0.02305	-0.074118	-0.192142	-0.109825	-0.095695	6.07008	1.113488	12.829658	6.41407	0.011679	-0.261356	-0.261259	-0.289842	-0.291336	11.193001	2.015002	78.863544	36.5577
0.012467	0.014826	0.02158	-0.109225	-0.145842	-0.166609	-0.049523	4.563207	1.403092	14.217572	6.696893	0.010872	-0.295595	-0.273229	-0.271835	-0.311928	14.937195	2.398486	65.977948	26.516209
0.007197	0.014155	0.017064	-0.162444	-0.118269	-0.102485	-0.145133	5.240118	1.512119	12.056276	7.82163	0.010701	-0.290124	-0.309374	-0.244401	-0.241017	13.098702	3.139512	50.9815	36.476968
0.011464	0.013643	0.024427	-0.110969	-0.093711	-0.060509	-0.081772	6.466914	1.350914	13.507347	7.31723	0.007751	-0.266474	-0.250927	-0.295765	-0.358946	12.85298	2.093253	52.314538	21.037231
0.015495	0.014228	0.017822	-0.1316	-0.073622	-0.114502	-0.116953	6.670672	1.379723	13.423619	8.20275	0.008442	-0.306532	-0.307181	-0.28417	-0.316822	15.926216	2.45716	64.712451	39.66539
0.007419	0.01441	0.018296	-0.166347	-0.129531	-0.196124	-0.162744	4.77808	1.277017	13.126923	5.210687	0.014787	-0.265562	-0.265495	-0.292626	-0.260488	12.643987	3.010476	51.873826	22.429485
0.013153	0.013831	0.019287	-0.151566	-0.105945	-0.058369	-0.126355	4.262093	1.199663	16.396928	7.009576	0.007541	-0.323507	-0.234811	-0.270715	-0.324162	9.574371	2.106328	62.943696	33.971847
0.014495	0.013558	0.019047	-0.063335	-0.15793	-0.146432	-0.154251	5.98965	1.367437	12.378919	7.541169	0.006004	-0.328329	-0.32767	-0.313699	-0.342176	13.784836	2.668852	70.247914	28.023909
0.01429	0.014037	0.022961	-0.049971	-0.135776	-0.098873	-0.188589	6.289529	1.041052	14.970289	7.347599	0.00348	-0.338196	-0.308593	-0.34099	-0.326366	13.596999	2.525276	66.443287	33.039354
0.010196	0.014577	0.021542	-0.150035	-0.087176	-0.13802	-0.140599	4.122934	1.021753	13.620192	7.750809	0.003925	-0.28391	-0.355194	-0.342842	-0.250693	9.88309	2.772487	73.207047	28.301916
0.015593	0.012816	0.020495	-0.087614	-0.108171	-0.148657	-0.081045	4.91693	1.3034	13.489459	5.46983	0.009365	-0.355247	-0.280335	-0.30332	-0.319942	10.485913	2.749644	65.440871	29.550311
0.017167	0.015068	0.019964	-0.117261	-0.12871	-0.069513	-0.076853	5.900314	1.305994	16.174233	6.362487	0.01419	-0.236331	-0.247603	-0.339147	-0.321008	16.87003	1.900446	56.442471	27.083245
0.01029	0.012767	0.021205	-0.066301	-0.067752	-0.150206	-0.097015	5.462675	1.392021	15.366934	5.795869	0.008534	-0.333912	-0.37585	-0.327188	-0.339948	13.329772	2.892561	70.86144	23.426299
0.012101	0.013818	0.020108	-0.182997	-0.188383	-0.103818	-0.168832	5.409042	1.473405	11.644066	5.71154	0.009617	-0.277897	-0.353232	-0.321292	-0.279529	11.858921	3.172876	63.68526	30.397015
0.009955	0.013403	0.022628	-0.104086	-0.183661	-0.178407	-0.135005	5.973702	1.178716	14.479883	8.353278	0.00887	-0.218279	-0.271656	-0.222523	-0.309585	15.864963	2.406149	77.31417	29.752102
0.010718	0.013126	0.021793	-0.136017	-0.160894	-0.164367	-0.105554	4.495463	1.263231	9.976623	8.172402	0.007865	-0.284799	-0.289492	-0.359195	-0.332082	11.395152	2.22375	76.342248	35.148903
0.013273	0.014897	0.023241	-0.093418	-0.159661	-0.107235	-0.131133	3.936685	1.10001	14.112968	7.993876	0.00815	-0.343417	-0.241098	-0.338051	-0.299229	9.228724	2.062273	49.392042	30.529706
0.007783	0.014303	0.020356	-0.145848	-0.147375	-0.084034	-0.15487	4.969062	1.278053	13.308054	7.628422	0.010413	-0.308535	-0.331682	-0.315654	-0.23152	13.634217	3.237348	67.069481	26.793144
0.010572	0.013279	0.020642	-0.119053	-0.089772	-0.093987	-0.183223	5.557936	0.972686	16.741168	5.865052	0.004248	-0.317681	-0.30673	-0.307364	-0.333597	14.771864	3.189751	70.358363	25.760804
0.012987	0.014468	0.018384	-0.097644	-0.075523	-0.191356	-0.13328	5.022984	1.225783	14.647274	5.852798	0.003157	-0.232608	-0.336126	-0.31053	-0.297488	15.298178	2.943016	82.43087	24.896298
0.009207	0.013751	0.020932	-0.083657	-0.112143	-0.115282	-0.111869	5.514729	1.079538	12.656247	6.248152	0.004702	-0.294458	-0.282791	-0.347774	-0.249253	12.274855	3.045604	53.576925	28.183889
0.008461	0.014718	0.017982	-0.052232	-0.079447	-0.173893	-0.129322	5.25124	1.446673	11.824122	5.675902	0.012607	-0.369199	-0.263394	-0.304633	-0.255772	10.827481	3.417708	71.855085	25.658755
0.015738	0.01465	0.018612	-0.057178	-0.086099	-0.054218	-0.142477	5.222319	1.069249	10.764386	6.493268	0.010507	-0.360383	-0.290462	-0.281716	-0.253922	13.260517	3.374594	74.664337	27.547204
0.009019	0.014436	0.02467	-0.106753	-0.209091	-0.15207	-0.098657	5.354387	1.486789	12.429392	6.303775	0.004009	-0.33058	-0.284779	-0.3229	-0.295545	16.235686	2.793249	68.467877	32.192421
0.011087	0.015517	0.021086	-0.1871	-0.175716	-0.186408	-0.100186	5.480845	1.426925	13.015105	6.948507	0.006485	-0.238093	-0.335142	-0.33412	-0.337884	9.970597	2.376683	67.855229	24.675548
0.005996	0.014013	0.020582	-0.100821	-0.185885	-0.116564	-0.142774	5.359698	1.202147	10.545572	6.920516	0.011272	-0.291247	-0.249129	-0.257771	-0.273317	16.021613	3.457535	69.431967	28.759324
0.014805	0.01461	0.019027	-0.142457	-0.164196	-0.126226	-0.067983	6.390703	1.523508	12.809961	6.95554	0.013475	-0.32057	-0.254405	-0.279322	-0.268797	9.680799	3.515711	62.38123	27.003074
0.01037	0.014528	0.022473	-0.123814	-0.176638	-0.074578	-0.066495	3.991804	1.251664	13.0828	6.034004	0.014602	-0.273808	-0.299729	-0.354024	-0.267207	10.154691	2.030503	46.013734	37.878551
0.011164	0.014288	0.02086	-0.198628	-0.126782	-0.130722	-0.075123	4.792928	1.285314	12.253022	6.187335	0.008658	-0.29428	-0.28164	-0.346406	-0.318685	14.35283	2.728489	64.036429	34.130435
0.008196	0.015446	0.016629	-0.124949	-0.104032	-0.143715	-0.072622	5.123212	1.32626	13.245723	6.441633	0.010315	-0.270865	-0.325724	-0.229603	-0.286259	14.453698	2.535916	50.238871	26.162709
0.016494	0.014111	0.017696	-0.167682	-0.153918	-0.076462	-0.11375	4.191526	1.156715	15.277845	6.464624	0.012863	-0.346938	-0.349809	-0.360931	-0.272511	17.013806	2.24061	61.094362	32.88083
0.011368	0.01393	0.02193	-0.146705	-0.146217	-0.05173	-0.200929	5.036892	1.458572	14.713153	8.507076	0.009188	-0.257557	-0.261885	-0.234062	-0.281599	14.975257	2.783569	76.545542	32.24131
0.013965	0.013936	0.020049	-0.164485	-0.09821	-0.193517	-0.161516	5.814527	1.412612	14.406534	7.400072	0.00467	-0.311886	-0.323492	-0.364716	-0.345099	13.42673	3.029519	60.825373	33.603641
0.017313	0.012628	0.025389	-0.126006	-0.117258	-0.134006	-0.116211	4.929162	1.423447	13.830114	6.387011	0.011792	-0.305331	-0.32973	-0.350042	-0.264045	14.213768	2.487736	72.979024	35.331837
0.013411	0.012716	0.022086	-0.169307	-0.106847	-0.106332	-0.152506	6.292126	1.287228	13.73849	6.627424	0.006773	-0.279909	-0.319326	-0.295059	-0.304079	12.086964	2.832034	47.350631	24.242627
0.012684	0.015144	0.019735	-0.129757	-0.050172	-0.159851	-0.0912	5.441288	1.268953	14.30984	6.892654	0.006227	-0.222251	-0.365934	-0.306017	-0.329512	15.225127	2.13816	64.925785	34.9462
0.009281	0.014851	0.022348	-0.197551	-0.101302	-0.141929	-0.061963	4.144828	1.034543	14.855098	7.151596	0.011415	-0.251516	-0.287524	-0.241473	-0.352623	16.378349	2.613813	74.304612	38.672341
0.015089	0.014981	0.020428	-0.20296	-0.113958	-0.145797	-0.052974	4.56701	1.606171	16.071905	8.278789	0.005672	-0.315612	-0.238172	-0.297703	-0.287838	12.611336	2.932207	55.240732	28.357637
0.006231	0.012561	0.019244	-0.133866	-0.124692	-0.129106	-0.089125	5.626095	1.062571	11.696819	7.365169	0.007223	-0.25566	-0.244849	-0.325734	-0.276773	10.389987	2.167639	48.105951	35.542588
0.009852	0.013584	0.022325	-0.077118	-0.207067	-0.205508	-0.202093	5.308952	1.462441	14.739144	7.60361	0.011047	-0.2622	-0.293709	-0.310082	-0.370988	12.905041	2.629267	68.236403	23.044452
0.008828	0.014255	0.020687	-0.13796	-0.091854	-0.131345	-0.118165	6.124168	1.140353	14.144411	5.730631	0.005791	-0.325955	-0.22336	-0.259024	-0.315906	15.766047	3.106194	58.876295	37.397618
0.006693	0.013221	0.02417	-0.060942	-0.101822	-0.111649	-0.186867	6.513635	1.533329	11.612489	7.569096	0.005157	-0.322262	-0.285166	-0.246416	-0.335079	14.73822	2.970299	72.196097	32.558326
0.010467	0.015301	0.023146	-0.068748	-0.081535	-0.136943	-0.093112	5.673112	1.546973	12.975173	7.775051	0.012115	-0.281617	-0.256766	-0.269286	-0.280943	13.697476	3.073972	69.876969	29.689347
0.014109	0.013668	0.02026	-0.194435	-0.126235	-0.185484	-0.165046	5.797214	1.052489	11.775825	5.757828	0.005005	-0.341432	-0.342772	-0.266939	-0.278787	11.424527	2.360954	57.748636	30.695168
0.009524	0.015092	0.024982	-0.131033	-0.181577	-0.12823	-0.08711	6.607746	1.345976	11.426369	5.354886	0.011152	-0.275406	-0.35937	-0.221201	-0.257475	10.916986	2.645815	69.197229	23.950007
0.012387	0.014057	0.019394	-0.139124	-0.098888	-0.12363	-0.138838	5.545362	1.160374	13.268507	6.23505	0.009967	-0.29669	-0.242669	-0.380537	-0.31341	12.822146	2.898663	81.746741	28.904706
0.016174	0.014554	0.022527	-0.137	-0.17162	-0.177007	-0.158817	5.419564	1.452532	11.350551	6.990201	0.003597	-0.292899	-0.220619	-0.261057	-0.275729	11.775396	3.40447	81.368085	31.644967
0.018128	0.012917	0.018954	-0.095116	-0.1188	-0.080548	-0.055854	5.939258	1.555105	10.187209	6.756505	0.007494	-0.342992	-0.266629	-0.357085	-0.262631	16.765092	2.60151	55.388817	30.228354
0.013999	0.013494	0.016199	-0.143651	-0.064334	-0.161786	-0.19109	4.423843	1.480876	15.204131	7.230771	0.009352	-0.274519	-0.267858	-0.299097	-0.264836	11.023964	3.093746	46.695476	28.970178
0.007852	0.014776	0.018161	-0.119799	-0.178465	-0.171286	-0.195502	5.744256	1.257918	11.040687	8.059316	0.012271	-0.3512	-0.346911	-0.289055	-0.289094	10.35317	2.422027	68.805316	25.068948
0.012577	0.014131	0.023589	-0.159364	-0.152106	-0.090525	-0.092726	4.695338	1.506082	14.072202	5.522128	0.013196	-0.277372	-0.321994	-0.323486	-0.371528	13.45653	3.149462	54.410232	30.600815
0.015312	0.01319	0.017196	-0.191546	-0.133714	-0.06589	-0.196864	6.353129	1.419094	10.028402	6.720047	0.002954	-0.310032	-0.259305	-0.308593	-0.308221	12.711276	3.327503	73.827016	26.643416
0.011304	0.013983	0.021043	-0.189986	-0.130989	-0.09802	-0.111171	5.906526	1.57308	14.361291	5.45599	0.008061	-0.325682	-0.357425	-0.287137	-0.284476	12.14885	2.661084	63.169498	21.76669
0.013803	0.013889	0.023824	-0.160855	-0.057887	-0.147728	-0.103085	5.733564	1.127528	12.506158	5.990729	0.004929	-0.318822	-0.300081	-0.370074	-0.336295	14.270809	2.811405	65.528147	27.255096
0.010883	0.014169	0.024625	-0.102531	-0.084305	-0.100186	-0.171673	5.391145	1.404524	14.585117	6.617108	0.006105	-0.303229	-0.344731	-0.227184	-0.344067	15.045155	3.28201	50.106643	25.980038
0.013577	0.013139	0.02333	-0.108694	-0.137171	-0.113237	-0.207246	4.959198	1.362974	15.760686	6.139662	0.004495	-0.3669	-0.233692	-0.319893	-0.275218	12.358931	2.687367	57.142357	24.163583
0.008697	0.013083	0.02	-0.118043	-0.05933	-0.104203	-0.139341	6.102154	1.357524	13.186644	6.872325	0.014986	-0.353042	-0.381297	-0.26532	-0.259543	14.39935	1.935231	66.692831	36.785741
0.011954	0.014512	0.023695	-0.114556	-0.166315	-0.121194	-0.21009	5.639792	1.311371	13.56608	7.200504	0.008185	-0.377	-0.314575	-0.273129	-0.283492	11.264091	2.636158	66.139548	29.095306
0.010996	0.014465	0.023605	-0.089106	-0.140037	-0.164019	-0.185358	4.293836	1.624081	13.696268	7.278753	0.008767	-0.316627	-0.311712	-0.327819	-0.247623	14.148293	2.854067	75.231952	38.95421
0.014183	0.014388	0.019811	-0.099698	-0.153152	-0.119663	-0.130117	4.886195	1.206779	14.024038	5.574662	0.005385	-0.348429	-0.277362	-0.28331	-0.317783	11.098981	3.203814	58.039217	22.046884
0.011585	0.013706	0.017365	-0.09085	-0.109537	-0.136452	-0.166235	5.185067	1.097818	12.892642	5.400266	0.011975	-0.248537	-0.229652	-0.303663	-0.235686	12.42642	2.210882	52.928254	35.938364
0.014568	0.012938	0.019629	-0.134993	-0.120087	-0.143174	-0.179033	4.643574	1.194392	13.966013	5.132334	0.013669	-0.301313	-0.269308	-0.316383	-0.267727	10.68235	3.129215	63.880144	20.164753
0.011222	0.013235	0.021724	-0.121589	-0.141761	-0.091766	-0.147707	5.264245	1.43678	15.658701	5.918146	0.009761	-0.345407	-0.345679	-0.264132	-0.270547	11.531721	2.951746	62.013271	31.419388
0.015881	0.013471	0.021638	-0.163274	-0.090711	-0.120079	-0.177153	6.420485	1.234501	13.905754	5.982039	0.015253	-0.285641	-0.350711	-0.376126	-0.305232	13.172236	2.450407	79.705519	27.896624
0.008294	0.015007	0.021138	-0.147677	-0.15479	-0.097161	-0.174772	4.723427	1.588509	10.418974	5.052624	0.005484	-0.246558	-0.305453	-0.302007	-0.237805	16.558699	2.990273	83.622721	31.247084
0.013684	0.012869	0.020745	-0.127659	-0.070701	-0.200662	-0.121337	5.134998	1.472308	10.946632	6.582731	0.008339	-0.230856	-0.303582	-0.268611	-0.242231	12.959322	2.693255	67.641972	30.833994
0.012008	0.014759	0.02024	-0.128327	-0.095857	-0.118047	-0.107356	5.586987	1.16642	14.79118	6.799708	0.006338	-0.226078	-0.33052	-0.33629	-0.347671	15.648542	2.470267	56.213805	34.325668
0.007643	0.014667	0.021291	-0.15776	-0.112811	-0.110645	-0.084912	4.084016	1.334546	15.017314	6.07079	0.006924	-0.298266	-0.338063	-0.353119	-0.340558	13.556885	2.595541	84.993169	21.128526
0.006362	0.014084	0.02218	-0.105374	-0.16934	-0.067716	-0.119512	6.045903	1.124082	11.220602	6.833508	0.007416	-0.268981	-0.371358	-0.294221	-0.357352	9.323888	2.197928	44.772145	35.589347
0.018397	0.015382	0.023028	-0.117695	-0.194824	-0.150208	-0.177643	4.203477	1.228113	14.621233	6.244241	0.00914	-0.326705	-0.351521	-0.304471	-0.334959	11.348778	3.115595	73.897787	32.304093
0.01189	0.013906	0.018865	-0.107953	-0.085774	-0.075921	-0.16279	4.443728	1.51228	13.826009	5.345576	0.004152	-0.228758	-0.267595	-0.31702	-0.301519	15.457779	2.520699	55.199769	30.353113
0.011431	0.014171	0.022144	-0.164119	-0.092565	-0.168731	-0.101136	5.271536	1.574778	16.521927	7.720539	0.011717	-0.220738	-0.330542	-0.337	-0.33749	12.008411	2.555748	72.717538	32.515901
0.006989	0.015152	0.020162	-0.151705	-0.117396	-0.156958	-0.189485	5.005387	1.249564	13.240294	7.165867	0.007736	-0.253524	-0.314199	-0.286525	-0.312872	12.319676	3.462737	58.35023	35.615133
0.007932	0.014592	0.021255	-0.175477	-0.107254	-0.183429	-0.068668	5.516236	1.273709	13.180356	7.961217	0.009833	-0.330445	-0.241804	-0.285002	-0.247616	16.086645	2.321973	62.328529	30.08215
0.013974	0.015626	0.020877	-0.16064	-0.148481	-0.142396	-0.103682	4.970833	1.547474	12.859046	6.822253	0.006882	-0.353776	-0.360513	-0.290135	-0.227305	17.365471	2.668556	72.33185	30.427253
0.008791	0.013362	0.018357	-0.14063	-0.172504	-0.07189	-0.07729	5.856608	1.454683	11.726491	5.421617	0.005498	-0.296906	-0.253624	-0.3505	-0.300991	15.740013	2.895678	53.71653	21.526657
0.013347	0.014716	0.017391	-0.197784	-0.170927	-0.140756	-0.140233	5.670793	1.325787	11.221453	6.461608	0.006047	-0.290676	-0.36578	-0.359333	-0.244709	13.908679	2.592221	48.04945	36.667197
0.015671	0.015025	0.017848	-0.107298	-0.163936	-0.056155	-0.128619	6.03882	1.283032	13.627196	6.701719	0.013409	-0.259359	-0.340116	-0.318295	-0.331234	14.274156	3.390559	53.042607	29.715647
0.015571	0.015121	0.025087	-0.133018	-0.16019	-0.118274	-0.132825	4.138894	1.507204	12.919066	7.422274	0.009525	-0.293299	-0.34634	-0.2666	-0.373159	10.925954	3.020112	54.026543	31.609535
0.009166	0.01442	0.021016	-0.071918	-0.150384	-0.179169	-0.074873	6.210509	1.068927	13.014804	5.982516	0.011196	-0.274267	-0.304865	-0.291209	-0.303265	16.351605	2.088403	54.35165	29.535905
0.017488	0.01456	0.021386	-0.076182	-0.115101	-0.067562	-0.120704	4.320431	1.134053	11.764648	5.636366	0.014071	-0.291997	-0.354362	-0.281207	-0.343182	14.907066	2.960931	61.160086	37.189758
0.013807	0.013305	0.017882	-0.167235	-0.143002	-0.090441	-0.134233	4.864151	1.219397	14.77441	8.208106	0.006722	-0.312681	-0.295822	-0.302536	-0.235855	13.268621	2.691932	60.485208	27.411316
0.011773	0.012856	0.019549	-0.116174	-0.174835	-0.189101	-0.107925	4.79161	1.120264	11.589048	5.578158	0.006654	-0.286586	-0.295105	-0.328239	-0.263184	9.697428	3.270326	52.588197	25.752656
0.011637	0.013156	0.019906	-0.109271	-0.103942	-0.077965	-0.165306	6.279719	1.257224	10.701471	5.762425	0.011137	-0.366127	-0.261205	-0.270773	-0.341511	14.643942	3.164538	64.522716	22.555068
0.014537	0.013497	0.024315	-0.132209	-0.074887	-0.076036	-0.093101	3.978841	1.344166	14.125208	7.342097	0.002905	-0.240189	-0.274405	-0.32349	-0.368762	15.256386	2.568808	82.88073	25.3812
0.017715	0.0136	0.016458	-0.137472	-0.135894	-0.131935	-0.136627	4.904815	1.453342	15.629645	8.059	0.008419	-0.283597	-0.287197	-0.343063	-0.323072	9.278148	2.461741	75.186479	37.636135
0.014807	0.01394	0.02262	-0.195123	-0.065338	-0.14528	-0.11828	6.503247	1.408897	13.341614	7.451218	0.004612	-0.354421	-0.348324	-0.24558	-0.267784	10.264135	2.755196	71.428262	33.216693
0.016824	0.013957	0.022336	-0.070437	-0.128445	-0.124748	-0.065055	4.545869	1.201631	13.903215	6.495045	0.009073	-0.301066	-0.265708	-0.330418	-0.314431	14.594578	2.279814	63.426383	30.78091
0.010152	0.015322	0.024727	-0.088953	-0.112762	-0.097925	-0.097203	4.951423	1.44691	13.742922	6.729672	0.011498	-0.314236	-0.24036	-0.313998	-0.359497	12.071185	2.38377	71.744891	31.317205
0.01238	0.013664	0.021553	-0.134854	-0.068703	-0.09371	-0.144478	6.601077	1.086672	11.997184	5.681214	0.004808	-0.305553	-0.225956	-0.229258	-0.321065	13.97266	3.191669	65.541389	26.666143
0.006328	0.014276	0.022317	-0.179063	-0.098989	-0.158289	-0.165711	5.499975	1.140701	16.345418	5.72257	0.005155	-0.302653	-0.300074	-0.267434	-0.261154	12.487088	2.427828	67.192614	28.894274
0.013519	0.014873	0.023938	-0.148124	-0.145586	-0.146119	-0.157212	5.708454	1.035828	13.100348	7.225997	0.014572	-0.376013	-0.255754	-0.309795	-0.318156	11.442633	2.821442	51.830214	36.988317
0.011203	0.013879	0.025398	-0.138514	-0.100752	-0.096034	-0.069658	6.031957	1.398552	14.510109	7.369309	0.006252	-0.301654	-0.266868	-0.31257	-0.320537	17.537469	2.849208	64.055193	22.273375
0.010909	0.014964	0.023296	-0.144817	-0.083966	-0.201758	-0.131991	4.710901	1.399476	14.353789	5.147256	0.002456	-0.342947	-0.339283	-0.327185	-0.308122	17.245505	2.054435	54.643563	33.682801
0.011324	0.013784	0.024018	-0.128705	-0.098064	-0.165325	-0.072299	5.089132	1.461337	12.464843	8.448365	0.007524	-0.308823	-0.34693	-0.237084	-0.278017	12.558222	3.253624	50.912911	23.624302
