"Cpa"	"Cpv"	"Rpa"	"Rpv"	"Rpc"	"Cesra"	"Cesrv"	"Cesla"	"Ceslv"	"Cdra"	"Cdrv"	"Cdla"	"Cdlv"	"Rtri"	"Rmit"
5.567322	5.065716	0.002953	0.00494	0.095897	1.443085	1.20039	1.688879	0.370144	3.017194	25.16781	2.097563	8.532321	0.009256	0.009842
2.774065	10.788263	0.002049	0.007042	0.101986	1.541557	1.158662	1.565654	0.413901	3.04907	13.118734	1.513402	9.771913	0.007852	0.008452
6.039739	5.546743	0.00456	0.006049	0.069126	1.485307	1.326954	1.830189	0.466927	3.958336	12.939693	2.291992	11.530817	0.002171	0.008791
2.97627	7.428469	0.006972	0.006285	0.09484	1.371316	1.515486	1.70202	0.379768	3.805638	24.634235	2.157263	11.168495	0.00543	0.010899
1.76574	10.846889	0.007372	0.0075	0.130424	1.501946	1.594743	1.406103	0.487091	4.090635	12.027982	1.980475	10.391874	0.00323	0.010458
4.069196	9.709727	0.00364	0.009248	0.079504	1.519881	0.772098	1.769042	0.433205	3.577106	21.41808	1.685114	9.85841	0.008441	0.008713
4.721872	10.569486	0.009068	0.003718	0.049782	1.324409	0.845655	1.546745	0.516113	3.493449	13.703103	2.174431	9.469824	0.003041	0.00911
3.003615	5.734085	0.006018	0.00405	0.08213	1.450027	1.463173	1.514365	0.355956	3.313914	21.311532	2.01412	7.9873	0.004991	0.01152
4.485141	13.244075	0.008774	0.002474	0.084676	1.545618	1.115222	1.782012	0.428722	3.094093	23.337597	2.633642	9.222278	0.007692	0.010768
4.586206	6.169462	0.005474	0.007869	0.06763	1.1093	1.431443	1.524794	0.359187	3.13858	17.86781	1.792475	10.236072	0.002857	0.009557
3.851548	7.677898	0.006622	0.004458	0.109625	1.498891	0.87999	1.802881	0.372267	3.701321	26.192809	2.311456	8.944703	0.004436	0.010611
5.790589	8.450989	0.005575	0.004544	0.085539	1.424732	1.219972	1.698848	0.349099	4.019284	13.660407	2.489283	8.745172	0.008721	0.010387
4.235396	10.409456	0.003966	0.003837	0.010663	1.167719	1.267687	1.775263	0.320043	3.456942	17.580026	2.444248	10.439625	0.005559	0.00994
4.416743	10.504266	0.003096	0.004214	0.128593	1.316991	1.143969	1.368181	0.462321	2.901329	18.231489	1.877307	8.836585	0.003819	0.011358
4.015739	4.550509	0.003432	0.006682	0.005019	1.381962	1.35489	1.464319	0.281807	2.428353	14.519323	2.076732	8.630697	0.006657	0.008561
2.207089	8.59559	0.003507	0.004664	0.105354	1.478815	1.678505	1.684485	0.304343	3.156169	18.803405	1.482454	9.659098	0.003705	0.011193
1.16537	9.918992	0.002614	0.010415	0.028989	1.255413	1.535087	1.723615	0.545532	4.243761	21.174417	1.618253	10.680613	0.002484	0.010675
3.368053	10.943161	0.009632	0.004186	0.019566	1.512174	1.619065	1.713426	0.541336	3.356621	27.130743	2.402132	11.408394	0.005841	0.010246
1.125062	14.090528	0.009394	0.008565	0.063717	1.124313	1.101055	1.531397	0.353308	4.154935	14.740884	1.948133	8.23538	0.003646	0.008774
3.154659	14.562389	0.008245	0.008261	0.121076	1.332243	1.62263	1.56128	0.346803	2.765999	21.98651	2.002927	8.775499	0.004185	0.009502
3.695434	9.040991	0.00374	0.004352	0.03286	1.078134	1.969306	1.747669	0.374355	2.484693	26.943003	1.775091	9.664636	0.006525	0.011436
2.445452	9.146184	0.001861	0.003307	0.039671	1.233959	1.227066	1.575901	0.501789	3.328029	18.934463	2.031143	10.090723	0.00688	0.010103
5.114064	8.949908	0.009671	0.00546	0.014196	1.259199	1.287839	1.338737	0.529915	3.990278	15.294517	1.821863	9.935999	0.003957	0.010649
4.554681	3.9201	0.008215	0.003464	0.056489	1.054737	1.091101	1.769567	0.327439	3.240529	20.45991	1.543543	9.23094	0.001265	0.009765
3.259551	13.539715	0.005962	0.002793	0.073881	1.283491	0.875684	1.482205	0.397066	3.300525	20.198328	1.837767	9.348348	0.006106	0.011001
2.273923	5.834298	0.003207	0.002549	0.039069	1.3627	1.787405	1.739623	0.505299	3.290727	19.190969	1.708783	10.032112	0.007719	0.011009
5.339703	8.772047	0.006838	0.008769	0.134852	1.223485	0.77504	1.601267	0.412258	3.695299	17.068478	1.959949	7.819609	0.005496	0.009882
2.124243	5.36708	0.006283	0.001478	0.092903	1.343537	1.043777	1.695789	0.421367	3.009859	21.841429	2.022951	9.269072	0.009925	0.010045
3.092524	4.12799	0.00225	0.007878	0.086878	1.589078	1.004321	1.494707	0.352629	3.104374	23.171538	2.136499	7.87415	0.009176	0.009031
1.348662	13.080072	0.009138	0.003099	0.082949	1.357622	1.543775	1.733176	0.446039	3.196495	19.838568	2.083442	11.351438	0.004641	0.009283
2.580509	7.280756	0.007754	0.002155	0.124271	1.393081	1.670392	1.716988	0.499309	3.841652	21.661767	2.036691	10.801778	0.004503	0.00962
5.033719	9.787836	0.001499	0.009803	0.021064	1.150374	1.422238	1.606822	0.297125	3.545545	17.193063	1.651554	10.545505	0.006725	0.009723
0.594146	9.239312	0.007914	0.006942	0.063525	1.228753	0.728896	1.517453	0.472123	2.80784	16.442088	1.92988	10.746202	0.005062	0.010145
1.694322	2.955195	0.003947	0.006142	0.05514	1.262715	1.161926	1.44271	0.25898	3.884135	14.136753	2.511552	9.690875	0.004911	0.009308
2.371675	12.309464	0.008828	0.005398	0.07187	1.490257	1.172712	1.894725	0.405458	3.64716	19.061407	2.231853	11.179136	0.00516	0.011302
2.303311	11.601888	0.006819	0.005311	0.09949	1.565435	1.384039	1.628137	0.439169	2.552477	24.379303	1.581852	9.76136	0.007598	0.00896
1.233034	7.969719	0.007687	0.005531	0.065277	1.411041	1.364032	1.554109	0.308638	2.776783	15.447347	1.394121	9.740772	0.007129	0.008428
0.503147	10.68826	0.007989	0.008131	0.101567	1.625844	1.021999	1.542784	0.366014	2.980445	15.99439	2.303819	9.110592	0.001718	0.011215
3.046625	11.468531	0.003304	0.005101	0.037964	1.210366	1.480022	1.65989	0.313998	3.786498	18.337585	2.375643	10.28384	0.004088	0.010964
4.767343	8.394956	0.004747	0.006861	0.057218	1.156315	0.742473	1.598672	0.456849	2.631098	15.796969	2.106359	10.837107	0.007313	0.010514
4.44432	10.019815	0.004059	0.010019	0.017276	1.276843	0.988956	1.651919	0.302577	3.397676	16.375552	2.227734	10.585258	0.005728	0.009737
3.468776	6.685588	0.008424	0.006506	0.080944	1.455986	0.821908	1.672237	0.446882	2.828882	20.615339	2.429387	8.324376	0.009489	0.009931
2.844264	9.393444	0.005847	0.003134	0.078928	1.537108	1.250447	1.396676	0.407236	3.129177	16.106081	2.529738	10.46354	0.002568	0.009251
1.824261	11.347273	0.007215	0.002237	0.103517	1.368232	1.56536	1.870463	0.31228	3.757642	25.807441	1.67379	10.942507	0.006578	0.00909
1.884628	7.153194	0.006346	0.005787	0.086514	1.201315	0.949341	1.669197	0.330746	3.909662	23.643115	1.740753	10.206404	0.006018	0.010684
0.903126	8.168788	0.004287	0.001643	0.043305	1.44397	1.297532	1.461057	0.476556	2.895246	19.110093	2.267133	10.8937	0.008876	0.008674
4.337686	4.292503	0.004926	0.005611	0.034747	1.395366	0.701135	1.43163	0.401964	3.333011	14.322372	1.868661	8.786057	0.010387	0.010082
2.801204	12.115449	0.00833	0.007249	0.046913	1.463002	1.717476	1.50967	0.242206	3.650984	11.311937	2.161126	10.323401	0.006274	0.00998
3.226222	6.525997	0.009847	0.001831	0.032095	1.337818	1.208853	1.595692	0.436092	3.598944	19.46123	1.557684	9.877341	0.008905	0.010723
3.614571	12.059207	0.010117	0.004816	0.071736	1.386371	1.843039	1.625529	0.44177	2.934985	17.945251	2.335824	10.421764	0.009705	0.010029
5.184002	6.73605	0.00627	0.003615	0.044311	1.311839	1.907349	1.819124	0.510965	3.563394	20.170219	2.145708	9.997463	0.008585	0.009662
2.633269	4.741017	0.004668	0.009679	0.077899	1.46954	1.652897	1.611759	0.363629	3.457729	21.536879	1.896679	10.125647	0.007245	0.00906
5.25232	9.56186	0.009285	0.003544	0.092569	1.402129	1.072089	1.663712	0.449743	3.264401	18.519087	1.533974	11.105459	0.003487	0.011395
6.155701	10.00313	0.004508	0.009489	0.110234	1.377501	1.461358	1.860951	0.480605	3.935611	23.566764	1.639157	8.986833	0.005608	0.010854
3.805478	15.081637	0.006192	0.010225	0.062609	1.610548	1.504584	1.621936	0.457233	2.509384	20.666519	1.764446	9.093853	0.004275	0.008899
3.584045	10.261731	0.005795	0.006752	0.047871	1.477438	0.968901	1.538776	0.549187	4.110973	22.066303	2.259697	8.681751	0.007926	0.009789
2.080237	11.923981	0.006483	0.004036	0.055831	1.29197	2.024023	1.410102	0.333944	3.189225	17.547926	1.590224	10.510715	0.00486	0.010879
0.800657	12.687265	0.01	0.008011	0.036402	1.133337	1.822328	1.641696	0.278214	3.743537	21.009755	1.846575	9.022778	0.007481	0.00964
3.171095	3.5716	0.005603	0.006796	0.042128	1.297395	1.635888	1.584329	0.411047	3.069527	20.369219	1.603021	9.448174	0.006909	0.008586
4.653346	6.272893	0.008055	0.004744	0.096115	1.336316	0.67057	1.754199	0.427006	2.974028	13.959136	2.196715	9.326901	0.008249	0.009179
3.951187	11.259759	0.004887	0.006974	0.118845	1.417653	0.616218	1.57296	0.524014	3.818879	19.528318	2.055107	8.487729	0.009095	0.00938
4.970904	10.175139	0.005455	0.004868	0.068511	1.348422	1.487136	1.735153	0.320805	3.269242	18.445982	2.586541	9.534819	0.008596	0.009589
2.406882	9.303006	0.004184	0.008082	0.059044	1.094119	1.886425	1.503482	0.484197	3.921375	23.013716	1.435202	9.404619	0.006359	0.010573
3.843197	7.005698	0.006129	0.005849	0.067169	1.216204	1.18321	1.843357	0.39881	3.059936	17.25546	1.411311	8.305474	0.008105	0.010325
5.650887	7.565348	0.004736	0.005178	0.073573	1.353126	1.789317	1.790983	0.422774	4.199574	23.963252	1.473611	10.349547	0.003172	0.010532
4.161627	13.839681	0.008644	0.002063	0.041188	1.434494	1.319739	1.866001	0.250668	2.661588	16.617958	2.549504	10.601567	0.004818	0.008935
3.502915	8.265674	0.008493	0.006368	0.021891	1.092327	1.010536	1.707591	0.341517	3.586037	19.913579	1.938627	10.099562	0.008216	0.011052
2.482202	3.42115	0.005703	0.004997	0.070001	1.552156	1.981936	1.951543	0.255395	3.498443	21.114272	1.805453	9.816153	0.007998	0.009803
5.35079	11.796107	0.002691	0.005332	0.066135	1.143566	1.754923	1.477936	0.391417	3.664971	11.797849	1.734882	10.173912	0.002355	0.010193
3.409513	6.401529	0.006578	0.006078	0.04904	1.569218	0.902629	1.453347	0.337156	3.773513	22.58408	1.703268	8.917171	0.004332	0.010159
2.933968	8.008512	0.00529	0.008614	0.088485	1.407354	1.108588	1.809733	0.462821	3.518064	19.739513	2.202979	10.24573	0.003593	0.011597
3.746477	6.139205	0.007168	0.00568	0.081377	1.180858	1.058154	1.616984	0.454	3.210765	25.08777	2.243678	10.788229	0.006416	0.010312
1.539946	8.091396	0.007557	0.006227	0.051278	1.174937	1.310223	1.654712	0.557933	3.430596	25.38581	2.272681	9.511514	0.01022	0.008874
2.068155	10.282022	0.005339	0.009558	0.009397	1.529501	1.24587	1.370215	0.386258	3.167616	16.242166	1.824326	11.256668	0.007085	0.009329
5.463699	11.676839	0.010744	0.010701	0.115786	1.119434	0.805649	1.919008	0.493824	3.607705	18.624224	2.113136	9.371454	0.007392	0.011102
1.996288	8.909444	0.003335	0.007591	0.089634	1.1936	0.937346	1.418848	0.432009	2.611695	22.877734	2.361853	9.634029	0.002967	0.010484
2.904266	6.81064	0.010487	0.008412	0.024886	1.249796	1.415949	1.535418	0.518501	3.221601	17.699391	1.964032	8.642893	0.007024	0.010132
4.816559	8.701042	0.001668	0.006472	0.11767	1.430952	1.395977	1.470703	0.376974	3.852354	26.504283	1.925329	9.839078	0.006816	0.009473
3.282322	7.25209	0.006924	0.003935	0.12497	1.360083	1.130925	1.355031	0.378422	2.681704	16.875963	1.853398	10.974171	0.001472	0.010558
6.294059	8.526022	0.007864	0.010477	0.061724	1.459793	1.742631	1.646491	0.382421	3.723854	22.454928	1.995726	8.376807	0.005359	0.009901
1.419238	12.371204	0.004286	0.007282	0.051493	1.269955	1.34479	1.4931	0.49161	3.52553	23.917042	2.38678	10.656109	0.009606	0.009685
5.962712	13.444952	0.005245	0.00736	0.114594	1.293719	0.633344	1.634343	0.443341	3.355062	15.597135	2.34972	11.053915	0.003984	0.009568
2.539987	4.393526	0.007255	0.008359	0.076925	1.427889	1.047406	1.389932	0.417237	3.036362	12.295063	1.757226	9.597895	0.002724	0.010225
3.536324	7.484309	0.005074	0.002649	0.097908	1.284122	0.913629	1.814342	0.293387	3.245222	19.983312	1.888621	9.98461	0.004576	0.010252
2.731368	14.393147	0.004986	0.008793	0.030224	1.327316	1.399092	1.589501	0.534227	2.847324	22.70105	2.050639	8.555707	0.009986	0.010288
5.700515	12.456935	0.00256	0.006198	0.024963	1.230198	0.807978	1.715756	0.354363	3.496879	24.125038	1.845199	9.575124	0.008098	0.010124
2.934311	7.676868	0.002441	0.00708	0.065553	1.319864	1.855723	1.513883	0.331757	3.7132	22.547707	2.450264	10.659167	0.00229	0.009403
0.839946	7.16791	0.006257	0.007755	0.048915	1.390321	1.118292	1.458084	0.303553	3.409456	17.924229	1.822829	8.741987	0.00465	0.009298
2.052152	9.781075	0.009738	0.009444	0.020872	1.188446	1.006429	1.820337	0.425766	3.692248	14.730759	1.898333	10.532309	0.001995	0.010561
1.856715	4.196916	0.006835	0.00643	0.033716	1.118862	1.3766	1.351037	0.35719	3.947709	15.058635	2.533485	9.413127	0.009454	0.011049
4.882145	12.79432	0.0044	0.003526	0.091693	1.284784	0.863249	1.451265	0.415483	4.083908	17.678828	1.554303	10.62949	0.0088	0.009395
0.967016	8.205733	0.007368	0.005631	0.057291	1.601129	1.221238	1.713283	0.452175	3.627868	23.19729	1.532178	9.951287	0.008367	0.010437
2.290727	6.66376	0.005521	0.005508	0.06332	1.524911	1.17822	1.763487	0.352731	2.814604	16.827132	1.974381	9.490973	0.008557	0.009028
1.840818	5.994362	0.00208	0.008455	0.1324	1.296923	1.739277	1.484623	0.297543	3.557067	25.860177	1.710059	8.628187	0.003547	0.00916
5.804107	5.568071	0.006553	0.002871	0.070285	1.196448	1.910787	1.604655	0.456022	3.093707	16.208018	1.777559	8.417008	0.005121	0.009526
5.255965	3.759899	0.004039	0.007539	0.086893	1.361049	1.721608	1.333519	0.235555	2.759389	22.015402	1.759006	8.524095	0.003346	0.009571
2.976578	11.497398	0.008637	0.005855	0.084613	1.634335	1.163696	1.372723	0.44814	4.148644	15.48569	2.491862	9.882801	0.007729	0.008446
1.689947	3.356257	0.005812	0.003626	0.046707	1.473886	1.370346	1.769911	0.314557	3.366516	19.914558	1.692261	10.040661	0.001262	0.010464
4.271215	5.397622	0.006972	0.003106	0.045154	1.472	1.590179	1.445368	0.359031	3.537239	14.292805	2.149991	11.054961	0.00739	0.009234
2.234962	13.684542	0.008692	0.005715	0.101731	1.538885	0.675714	1.882129	0.372199	3.039193	17.068315	1.44333	9.167154	0.00616	0.010147
4.416111	12.362834	0.005108	0.006705	0.085213	1.372192	1.874726	1.657412	0.4237	3.792424	11.859054	1.734524	10.216524	0.003968	0.00933
4.937573	8.952002	0.005234	0.007167	0.089429	1.410569	0.949464	1.509001	0.254136	3.372958	15.181798	1.83758	8.936372	0.004047	0.009095
2.547631	4.618359	0.009909	0.008916	0.035801	1.435774	1.093675	1.815323	0.287896	3.205128	24.872406	2.0787	9.278646	0.004896	0.010314
4.707415	8.441977	0.005757	0.001686	0.078074	1.221133	0.758853	1.823844	0.24771	2.44594	20.74302	2.164457	9.657622	0.005774	0.011081
3.382855	11.842078	0.007614	0.007315	0.083259	1.571898	0.84818	1.383927	0.332168	3.646258	20.225845	2.068392	9.098094	0.008487	0.009487
3.777222	6.690942	0.006149	0.010777	0.052341	1.59504	1.278942	1.552587	0.443261	2.911491	19.812025	2.137276	8.047089	0.003285	0.009965
4.239982	7.334291	0.001909	0.008088	0.038151	1.251927	1.704366	1.600355	0.555502	3.651332	17.21817	2.391642	9.211667	0.007451	0.010859
4.799726	7.524024	0.010215	0.004423	0.01204	1.421246	1.658341	1.901449	0.541611	2.986629	19.255268	2.567842	11.486817	0.00669	0.009635
1.995008	9.167263	0.003723	0.01056	0.017795	1.127735	0.554458	1.565926	0.449795	3.186252	24.943339	1.678488	10.199126	0.006953	0.009804
6.005655	10.998663	0.007203	0.004862	0.005313	1.268743	1.637777	1.573946	0.433747	3.529219	23.833695	2.289616	10.310735	0.006574	0.009702
3.208691	11.629307	0.006486	0.009621	0.08063	1.36347	0.927578	1.84854	0.394287	3.611406	17.688909	2.648634	10.794247	0.002097	0.010937
3.335948	9.679765	0.007259	0.006297	0.066469	1.207041	1.661894	1.754985	0.384086	3.156906	23.036056	1.591013	9.76779	0.005449	0.009673
2.699249	5.750621	0.004287	0.006812	0.067813	1.057044	0.970443	1.646452	0.437113	4.029249	18.287703	1.606378	9.864771	0.006675	0.008887
1.181828	14.763414	0.00943	0.007033	0.029896	1.498216	1.486082	1.463497	0.361852	3.26944	19.470099	2.036688	11.340804	0.00979	0.010869
3.443294	10.208156	0.006619	0.004169	0.071808	1.502938	1.558937	1.778603	0.461454	3.923295	18.479057	1.915253	9.321541	0.004133	0.010033
5.427961	11.07688	0.00566	0.007816	0.094441	1.153509	1.388003	1.737033	0.431228	3.849787	21.760323	2.338384	10.421759	0.007308	0.01083
1.049273	6.205633	0.005033	0.008774	0.135262	1.354969	0.982008	1.582476	0.45764	3.734461	16.760097	1.958041	10.778359	0.001386	0.009589
3.822317	13.558526	0.007652	0.003501	0.096657	1.258995	1.580125	1.751038	0.444789	3.446394	18.981022	1.764686	10.963785	0.001789	0.010485
1.439024	9.108903	0.007936	0.005243	0.106728	1.401839	1.690349	1.540414	0.311283	3.704316	19.077359	1.97244	11.003837	0.002663	0.009179
1.743981	8.612954	0.003913	0.009708	0.016974	1.22506	1.050498	1.558865	0.528863	3.827309	26.889471	1.512473	10.880626	0.010311	0.010242
2.784576	10.620833	0.006057	0.004269	0.124907	1.201977	1.802666	1.495524	0.302857	3.067137	15.374244	1.569443	8.639053	0.003098	0.009554
3.910211	12.101821	0.003807	0.007243	0.041333	1.531169	1.272554	1.911324	0.34099	2.794992	20.632094	2.16802	9.976488	0.007113	0.010164
1.364729	5.812052	0.008178	0.004944	0.039993	1.241823	1.127245	1.476609	0.53215	3.113413	13.802289	1.998838	7.804398	0.00964	0.011256
3.505519	9.523152	0.00435	0.006023	0.054072	1.094642	0.642988	1.631227	0.380085	4.124522	22.628798	1.783511	8.907187	0.00393	0.009289
5.569086	6.879296	0.005949	0.003977	0.104225	1.465327	0.830034	1.894216	0.411324	3.401588	21.584485	1.404222	7.892099	0.005063	0.011284
4.29471	9.485922	0.005306	0.002727	0.114323	1.419453	1.553285	1.872279	0.295234	3.978367	18.522219	2.405445	8.09207	0.003759	0.00984
4.757839	4.716164	0.00545	0.004795	0.074344	1.288807	1.104273	1.625226	0.32331	2.785554	15.877628	1.85514	9.536091	0.005941	0.010064
3.857961	10.388288	0.010868	0.008508	0.107758	1.369234	1.195053	1.5209	0.559359	2.836807	18.943617	1.655086	9.619566	0.004391	0.010336
4.190241	5.460246	0.00931	0.006257	0.043418	1.302918	1.779965	1.840852	0.488638	2.631937	15.942645	2.31055	8.758502	0.004799	0.010727
2.184635	12.705724	0.003686	0.004647	0.059601	1.347458	1.139557	1.727163	0.307901	3.288767	25.630799	1.900573	9.175209	0.005357	0.011452
1.257432	4.02654	0.007037	0.00193	0.023335	1.451525	1.518201	1.492125	0.39172	3.098071	18.659757	2.213755	11.610692	0.006845	0.00863
3.430119	14.142984	0.00921	0.002486	0.047348	1.333032	1.064584	1.649473	0.378304	3.566124	14.110378	2.506805	8.556576	0.004844	0.01104
5.384539	12.068852	0.010537	0.006476	0.013859	1.516886	1.424514	1.706801	0.376111	2.863512	26.702274	1.98905	9.066552	0.006985	0.010709
4.531389	11.289255	0.005692	0.001864	0.078254	1.252147	1.601187	1.611223	0.273441	3.195913	21.940743	2.300289	8.347141	0.003794	0.010276
4.05001	10.757169	0.003411	0.007911	0.076596	1.31053	1.29141	1.617628	0.498844	3.46887	21.175037	1.884106	9.475334	0.008638	0.00937
2.629218	7.891793	0.008907	0.004707	0.100363	1.305081	1.30182	1.524665	0.33653	3.322056	17.80871	1.932889	10.482107	0.007616	0.00893
3.731406	8.715022	0.007161	0.004989	0.105686	1.13331	1.831848	1.797843	0.388598	3.798584	22.892062	1.370359	9.928547	0.004681	0.010629
5.049649	2.99994	0.008531	0.005957	0.032748	1.557426	1.211528	1.670184	0.491757	3.745417	14.8086	2.581432	9.23171	0.005675	0.010624
4.151313	9.607361	0.004778	0.00378	0.075863	1.629124	1.396575	1.574634	0.477344	3.986134	20.846555	1.615321	10.680043	0.006367	0.00943
2.510286	10.720418	0.006806	0.009258	0.03682	1.24338	1.622198	1.396237	0.395996	3.495959	16.038021	1.463271	9.294353	0.004567	0.009741
4.079324	5.184009	0.009024	0.001505	0.056752	1.106687	0.713335	1.440281	0.338071	2.944785	24.550045	2.051238	9.020394	0.006813	0.008782
0.556281	13.899943	0.005911	0.003035	0.056155	1.481812	1.919319	1.531756	0.267512	3.225158	12.456387	2.377073	10.433072	0.006021	0.010388
3.625159	8.311346	0.003363	0.007648	0.110816	1.080661	0.889991	1.62006	0.418258	3.262305	17.16978	2.258773	9.353448	0.005881	0.009853
2.129696	12.211768	0.007497	0.003942	0.09789	1.392851	1.079547	1.504664	0.390858	2.717668	15.689534	2.013661	9.116859	0.007101	0.008548
0.802825	14.916543	0.002747	0.007346	0.041771	1.296353	0.689943	1.798632	0.485317	3.164389	25.515471	2.024446	10.844168	0.007883	0.01009
2.356152	13.475139	0.003538	0.004492	0.049556	1.213013	1.818173	1.719411	0.503285	3.247109	20.976542	2.475392	8.812847	0.007696	0.00912
6.199312	7.221974	0.004068	0.001302	0.103183	1.177486	1.341008	1.691395	0.365114	3.514835	14.55511	1.633852	8.830545	0.005477	0.008398
5.93466	7.069923	0.00484	0.003788	0.06507	1.317089	1.246547	1.664221	0.441402	3.047285	12.806899	2.093608	8.681583	0.002884	0.009215
3.298277	6.411266	0.008048	0.007623	0.026679	1.336985	0.822942	1.474824	0.370098	2.879963	16.311136	1.919171	9.821981	0.003175	0.00994
5.19628	5.072228	0.006921	0.005368	0.068668	1.612836	0.961876	1.547859	0.427981	2.607645	21.319977	1.700789	10.566733	0.005584	0.01021
3.943111	6.949424	0.0061	0.006396	0.117306	1.576687	0.78493	1.739383	0.493308	2.884883	16.509903	2.060948	10.073288	0.007795	0.011587
2.457313	10.318109	0.002293	0.006106	0.034922	1.172992	1.499868	1.858886	0.328001	2.95681	23.400921	1.827243	8.879997	0.003494	0.009765
3.263858	8.801088	0.007783	0.008019	0.082703	1.376184	1.190944	1.528862	0.47518	3.391613	27.241194	2.185472	9.717039	0.005246	0.009904
4.989071	3.534919	0.004191	0.00229	0.075158	1.087164	1.349816	1.680117	0.435854	2.929557	11.713084	1.745232	10.517255	0.004343	0.009879
3.182763	11.903785	0.006746	0.009064	0.010221	1.385458	1.954299	1.731432	0.372667	2.500693	19.314211	2.351597	9.714078	0.009582	0.0104
1.456121	10.164661	0.009974	0.00559	0.069252	1.265791	1.226903	1.366576	0.524651	3.306091	11.235625	2.121946	9.783522	0.003687	0.009925
3.588057	7.966107	0.001342	0.006927	0.095448	1.168187	1.35505	1.644128	0.504419	4.063794	22.809802	2.106928	10.128944	0.007502	0.008652
3.652297	12.923451	0.002881	0.006884	0.052285	1.456179	0.998485	1.684901	0.465753	3.43991	21.412566	2.033414	10.735394	0.010926	0.010983
2.114836	4.939756	0.001278	0.005092	0.10978	1.563788	1.768009	1.421383	0.277367	3.30194	18.054631	2.273777	8.304827	0.009196	0.010544
3.063816	7.743864	0.009527	0.010137	0.099078	1.351196	1.537051	1.562901	0.400643	3.351649	13.636026	2.419759	10.156808	0.004267	0.009619
4.630622	9.943098	0.003239	0.008364	0.058718	1.379885	1.522404	1.768115	0.398603	2.544665	19.714056	1.654185	10.358043	0.006478	0.008988
3.560435	8.398607	0.007993	0.00579	0.061664	1.506928	1.028855	1.865094	0.322826	3.888397	13.013521	2.086648	9.513265	0.005851	0.009712
3.72058	6.482445	0.00163	0.004524	0.088422	1.403691	0.603198	1.594992	0.350461	3.430018	20.338538	1.804185	8.985172	0.00563	0.010746
2.863687	6.291111	0.010465	0.002529	0.071084	1.461592	1.034825	1.676648	0.317433	3.139862	26.2224	2.609825	9.845322	0.01021	0.011161
6.278815	11.322632	0.006457	0.004069	0.128102	1.325628	0.588996	1.412064	0.511398	4.22001	20.063196	2.320241	9.388052	0.008692	0.008851
5.108426	10.497505	0.00452	0.00816	0.115439	1.52081	1.087275	1.40932	0.279444	2.65367	20.180241	1.953513	9.682375	0.007187	0.010112
3.144156	4.510145	0.004613	0.002988	0.12343	1.396905	1.616861	1.74636	0.464928	2.741755	13.447049	1.877377	11.296145	0.002487	0.011375
1.589562	7.446182	0.003148	0.00665	0.091987	1.43347	1.251145	1.786733	0.384421	3.480326	20.528007	2.197382	10.382034	0.006325	0.008692
